Área	Métrica	Valor	Status	Data_Atualização
Tecnologia	Uptime	99.9%	good	2025-09-30
Tecnologia	Bugs Críticos	0	good	2025-09-30
Tecnologia	Features em Dev	3	normal	2025-09-30
Financeiro	Receita Mensal	$125k	good	2025-09-30
Financeiro	Custos Operacionais	$45k	normal	2025-09-30
Financeiro	Margem	64%	good	2025-09-30
Jurídico	Contratos Pendentes	2	normal	2025-09-30
Jurídico	Licenças Ativas	8	good	2025-09-30
Jurídico	Conformidade	95%	good	2025-09-30
Negócios	Leads Ativos	45	good	2025-09-30
Negócios	Taxa Conversão	12%	normal	2025-09-30
Negócios	Parcerias	3	normal	2025-09-30
Marketing	Campanhas Ativas	4	good	2025-09-30
Marketing	Novos Leads	120	good	2025-09-30
Marketing	Engajamento	0,35	good	2025-09-30
Atendimento	Tickets Abertos	8	good	2025-09-30
Atendimento	Tempo Médio	2.5h	good	2025-09-30
Atendimento	NPS	8.5	good	2025-09-30
